id,unit,topic,topicTitle,stimulusType,stimulusText,stimulusImageUrl,stimulusImageAlt,stimulusSource,question,choiceA,choiceB,choiceC,choiceD,answer,explanation
1.1-ev1,1,1.1,1.1 Developments in East Asia,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in Song China",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in Song China?",civil service examination system,ulama legal authority,Delhi Sultanate governance,Inca mita labor system,0,Song officials were selected through competitive examinations grounded in Confucian classics. This evidence aligns with institutional change in Song China.
1.1-ev2,1,1.1,1.1 Developments in East Asia,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,"Based on the image, which process is most directly associated with the historical context shown?",Great Zimbabwe trade networks,civil service examination system,manorial and feudal ties,state legitimacy through institutions,1,Song officials were selected through competitive examinations grounded in Confucian classics. The image context points most directly to this process.
1.1-ev3,1,1.1,1.1 Developments in East Asia,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to Song China",,,,Which of the following was an important long-term effect of civil service examination system?,caravanserai-supported Silk Road trade,Pax Mongolica connectivity,civil service examination system,monsoon-based navigation,2,Song officials were selected through competitive examinations grounded in Confucian classics. This development had durable long-term consequences.
1.1-ev4,1,1.1,1.1 Developments in East Asia,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,civil service examination system,3,Song officials were selected through competitive examinations grounded in Confucian classics. Historians use visual evidence like this to support broader process arguments.
1.1-ev5,1,1.1,1.1 Developments in East Asia,none,,,,,Which claim is best supported by historical evidence from 1.1 Developments in East Asia?,civil service examination system,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,Song officials were selected through competitive examinations grounded in Confucian classics. This is the most historically defensible claim supported by the evidence.
1.2-ev1,1,1.2,1.2 Developments in Dar al-Islam,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in Dar al-Islam",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in Dar al-Islam?",ulama legal authority,civil service examination system,Delhi Sultanate governance,Inca mita labor system,0,Islamic legal scholars interpreted and applied sharia across diverse Islamic polities. This evidence aligns with institutional change in Dar al-Islam.
1.2-ev2,1,1.2,1.2 Developments in Dar al-Islam,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,"Based on the image, which process is most directly associated with the historical context shown?",Great Zimbabwe trade networks,ulama legal authority,manorial and feudal ties,state legitimacy through institutions,1,Islamic legal scholars interpreted and applied sharia across diverse Islamic polities. The image context points most directly to this process.
1.2-ev3,1,1.2,1.2 Developments in Dar al-Islam,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to Dar al-Islam",,,,Which of the following was an important long-term effect of ulama legal authority?,caravanserai-supported Silk Road trade,Pax Mongolica connectivity,ulama legal authority,monsoon-based navigation,2,Islamic legal scholars interpreted and applied sharia across diverse Islamic polities. This development had durable long-term consequences.
1.2-ev4,1,1.2,1.2 Developments in Dar al-Islam,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Map_of_the_Song_Dynasty.png,Map of Song China,https://commons.wikimedia.org/wiki/File:Map_of_the_Song_Dynasty.png,A historian would most likely use the image as evidence for which broader pattern in world history?,gold-salt exchange routes,cross-cultural diffusion,Black Death transmission,ulama legal authority,3,Islamic legal scholars interpreted and applied sharia across diverse Islamic polities. Historians use visual evidence like this to support broader process arguments.
1.2-ev5,1,1.2,1.2 Developments in Dar al-Islam,none,,,,,Which claim is best supported by historical evidence from 1.2 Developments in Dar al-Islam?,ulama legal authority,maritime scale advantages,gunpowder military expansion,imperial tax and bureaucracy,0,Islamic legal scholars interpreted and applied sharia across diverse Islamic polities. This is the most historically defensible claim supported by the evidence.
